#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#small_nh4no3_2,20.8,100,50,200,4,1,1,1.0126858710209283e-08
freq, real, imaginary, concentration
100,17298,100,0.625
150,5496,150,0.625
200,226,200,0.625
250,120,250,0.625
300,72,300,0.625
350,-109,350,0.625
400,-714,400,0.625
450,-2136,450,0.625
500,-4669,500,0.625
550,-8197,550,0.625
600,-12278,600,0.625
650,-16401,650,0.625
700,-20096,700,0.625
750,-23039,750,0.625
800,-25005,800,0.625
850,-25892,850,0.625
900,-25722,900,0.625
950,-24610,950,0.625
1000,-22805,1000,0.625
1050,-20621,1050,0.625
1100,-18299,1100,0.625
1150,-15974,1150,0.625
1200,-13767,1200,0.625
1250,-11723,1250,0.625
1300,-9872,1300,0.625
1350,-8221,1350,0.625
1400,-6770,1400,0.625
1450,-5505,1450,0.625
1500,-4461,1500,0.625
1550,-3672,1550,0.625
1600,-3152,1600,0.625
1650,-2897,1650,0.625
1700,-2854,1700,0.625
1750,-2981,1750,0.625
1800,-3213,1800,0.625
1850,-3487,1850,0.625
1900,-3747,1900,0.625
1950,-3951,1950,0.625
2000,-4080,2000,0.625
2050,-4135,2050,0.625
2100,-4132,2100,0.625
2150,-4074,2150,0.625
2200,-3969,2200,0.625
2250,-3828,2250,0.625
2300,-3660,2300,0.625
2350,-3470,2350,0.625
2400,-3265,2400,0.625
2450,-3041,2450,0.625
2500,-2840,2500,0.625
2550,-2661,2550,0.625
2600,-2518,2600,0.625
2650,-2430,2650,0.625
2700,-2379,2700,0.625
2750,-2366,2750,0.625
2800,-2380,2800,0.625
2850,-2404,2850,0.625
2900,-2432,2900,0.625
2950,-2442,2950,0.625
3000,-2437,3000,0.625
3050,-2422,3050,0.625
3100,-2385,3100,0.625
3150,-2338,3150,0.625
3200,-2286,3200,0.625
3250,-2221,3250,0.625
3300,-2154,3300,0.625
3350,-2080,3350,0.625
3400,-1996,3400,0.625
3450,-1909,3450,0.625
3500,-1825,3500,0.625
3550,-1760,3550,0.625
3600,-1685,3600,0.625
3650,-1647,3650,0.625
3700,-1612,3700,0.625
3750,-1590,3750,0.625
3800,-1580,3800,0.625
3850,-1573,3850,0.625
3900,-1561,3900,0.625
3950,-1547,3950,0.625
4000,-1529,4000,0.625
4050,-1498,4050,0.625
4100,-1460,4100,0.625
4150,-1431,4150,0.625
4200,-1384,4200,0.625
4250,-1346,4250,0.625
4300,-1297,4300,0.625
4350,-1248,4350,0.625
4400,-1199,4400,0.625
4450,-1143,4450,0.625
4500,-1093,4500,0.625
4550,-1054,4550,0.625
4600,-1011,4600,0.625
4650,-983,4650,0.625
4700,-961,4700,0.625
4750,-946,4750,0.625
4800,-929,4800,0.625
4850,-917,4850,0.625
4900,-905,4900,0.625
4950,-888,4950,0.625
5000,-858,5000,0.625
5050,-825,5050,0.625
5100,-803,5100,0.625
5150,-774,5150,0.625
5200,-737,5200,0.625
5250,-706,5250,0.625
5300,-671,5300,0.625
5350,-636,5350,0.625
5400,-596,5400,0.625
5450,-559,5450,0.625
5500,-530,5500,0.625
5550,-490,5550,0.625
5600,-462,5600,0.625
5650,-440,5650,0.625
5700,-417,5700,0.625
5750,-412,5750,0.625
5800,-386,5800,0.625
5850,-378,5850,0.625
5900,-355,5900,0.625
5950,-341,5950,0.625
6000,-317,6000,0.625
6050,-296,6050,0.625
6100,-277,6100,0.625
6150,-246,6150,0.625
6200,-219,6200,0.625
6250,-195,6250,0.625
6300,-161,6300,0.625
6350,-125,6350,0.625
6400,-95,6400,0.625
6450,-61,6450,0.625
6500,-35,6500,0.625
6550,-6,6550,0.625
6600,17,6600,0.625
6650,36,6650,0.625
6700,56,6700,0.625
6750,76,6750,0.625
6800,86,6800,0.625
6850,90,6850,0.625
6900,125,6900,0.625
6950,125,6950,0.625
7000,158,7000,0.625
7050,168,7050,0.625
7100,194,7100,0.625
7150,205,7150,0.625
7200,235,7200,0.625
7250,274,7250,0.625
7300,283,7300,0.625
7350,297,7350,0.625
7400,328,7400,0.625
7450,355,7450,0.625
7500,375,7500,0.625
7550,402,7550,0.625
7600,417,7600,0.625
7650,435,7650,0.625
7700,448,7700,0.625
7750,471,7750,0.625
7800,484,7800,0.625
7850,504,7850,0.625
7900,517,7900,0.625
7950,535,7950,0.625
8000,559,8000,0.625
8050,575,8050,0.625
8100,595,8100,0.625
8150,616,8150,0.625
8200,650,8200,0.625
