#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#small_nh4no3_8.72,20.5,10000,300,300,4,1,1,1.0092016396570935e-08
freq, real, imaginary, concentration
10000,1977,10000,2.3
10300,2078,10300,2.3
10600,2198,10600,2.3
10900,2304,10900,2.3
11200,2406,11200,2.3
11500,2525,11500,2.3
11800,2622,11800,2.3
12100,2735,12100,2.3
12400,2846,12400,2.3
12700,2939,12700,2.3
13000,3048,13000,2.3
13300,3154,13300,2.3
13600,3260,13600,2.3
13900,3324,13900,2.3
14200,3462,14200,2.3
14500,3576,14500,2.3
14800,3663,14800,2.3
15100,3771,15100,2.3
15400,3867,15400,2.3
15700,3969,15700,2.3
16000,4073,16000,2.3
16300,4178,16300,2.3
16600,4272,16600,2.3
16900,4373,16900,2.3
17200,4467,17200,2.3
17500,4571,17500,2.3
17800,4665,17800,2.3
18100,4769,18100,2.3
18400,4868,18400,2.3
18700,4965,18700,2.3
19000,5059,19000,2.3
19300,5153,19300,2.3
19600,5235,19600,2.3
19900,5355,19900,2.3
20200,5445,20200,2.3
20500,5539,20500,2.3
20800,5647,20800,2.3
21100,5728,21100,2.3
21400,5829,21400,2.3
21700,5926,21700,2.3
22000,6020,22000,2.3
22300,6115,22300,2.3
22600,6208,22600,2.3
22900,6302,22900,2.3
23200,6395,23200,2.3
23500,6487,23500,2.3
23800,6528,23800,2.3
24100,6668,24100,2.3
24400,6783,24400,2.3
24700,6854,24700,2.3
25000,6889,25000,2.3
25300,7046,25300,2.3
25600,7137,25600,2.3
25900,7231,25900,2.3
26200,7318,26200,2.3
26500,7416,26500,2.3
26800,7503,26800,2.3
27100,7592,27100,2.3
27400,7685,27400,2.3
27700,7776,27700,2.3
28000,7870,28000,2.3
28300,7961,28300,2.3
28600,8051,28600,2.3
28900,8139,28900,2.3
29200,8227,29200,2.3
29500,8311,29500,2.3
29800,8402,29800,2.3
30100,8491,30100,2.3
30400,8579,30400,2.3
30700,8665,30700,2.3
31000,8752,31000,2.3
31300,8828,31300,2.3
31600,8926,31600,2.3
31900,9016,31900,2.3
32200,9101,32200,2.3
32500,9187,32500,2.3
32800,9264,32800,2.3
33100,9361,33100,2.3
33400,9447,33400,2.3
33700,9532,33700,2.3
34000,9618,34000,2.3
34300,9703,34300,2.3
34600,9784,34600,2.3
34900,9868,34900,2.3
35200,9954,35200,2.3
35500,10038,35500,2.3
35800,10124,35800,2.3
36100,10210,36100,2.3
36400,10287,36400,2.3
36700,10375,36700,2.3
37000,10455,37000,2.3
37300,10534,37300,2.3
37600,10619,37600,2.3
37900,10702,37900,2.3
38200,10784,38200,2.3
38500,10980,38500,2.3
38800,10943,38800,2.3
39100,11027,39100,2.3
39400,11106,39400,2.3
39700,11185,39700,2.3
40000,11293,40000,2.3
40300,11346,40300,2.3
40600,11430,40600,2.3
40900,11506,40900,2.3
41200,11581,41200,2.3
41500,11666,41500,2.3
41800,11746,41800,2.3
42100,11824,42100,2.3
42400,11902,42400,2.3
42700,11981,42700,2.3
43000,12067,43000,2.3
43300,12147,43300,2.3
43600,12232,43600,2.3
43900,12310,43900,2.3
44200,12389,44200,2.3
44500,12457,44500,2.3
44800,12531,44800,2.3
45100,12605,45100,2.3
45400,12697,45400,2.3
45700,12758,45700,2.3
46000,12834,46000,2.3
46300,12897,46300,2.3
46600,12973,46600,2.3
46900,13047,46900,2.3
47200,13119,47200,2.3
47500,13193,47500,2.3
47800,13264,47800,2.3
48100,13339,48100,2.3
48400,13414,48400,2.3
48700,13482,48700,2.3
49000,13549,49000,2.3
49300,13620,49300,2.3
49600,13693,49600,2.3
49900,13762,49900,2.3
50200,13828,50200,2.3
50500,13896,50500,2.3
50800,13966,50800,2.3
51100,14038,51100,2.3
51400,14103,51400,2.3
51700,14167,51700,2.3
52000,14234,52000,2.3
52300,14302,52300,2.3
52600,14377,52600,2.3
52900,14433,52900,2.3
53200,14500,53200,2.3
53500,14568,53500,2.3
53800,14632,53800,2.3
54100,14697,54100,2.3
54400,14761,54400,2.3
54700,14826,54700,2.3
55000,14890,55000,2.3
55300,14948,55300,2.3
55600,15147,55600,2.3
55900,15078,55900,2.3
56200,15143,56200,2.3
56500,15205,56500,2.3
56800,15267,56800,2.3
57100,15329,57100,2.3
57400,15388,57400,2.3
57700,15450,57700,2.3
58000,15510,58000,2.3
58300,15567,58300,2.3
58600,15628,58600,2.3
58900,15697,58900,2.3
59200,15746,59200,2.3
59500,15804,59500,2.3
59800,15864,59800,2.3
60100,15924,60100,2.3
60400,15976,60400,2.3
60700,16034,60700,2.3
61000,16093,61000,2.3
61300,16152,61300,2.3
61600,16206,61600,2.3
61900,16260,61900,2.3
62200,16313,62200,2.3
62500,16057,62500,2.3
62800,16423,62800,2.3
63100,16478,63100,2.3
63400,16532,63400,2.3
63700,16584,63700,2.3
64000,16640,64000,2.3
64300,16692,64300,2.3
64600,16743,64600,2.3
64900,16794,64900,2.3
65200,16843,65200,2.3
65500,16896,65500,2.3
65800,16947,65800,2.3
66100,16996,66100,2.3
66400,17046,66400,2.3
66700,17051,66700,2.3
67000,17145,67000,2.3
67300,17194,67300,2.3
67600,17243,67600,2.3
67900,17290,67900,2.3
68200,17345,68200,2.3
68500,17384,68500,2.3
68800,17433,68800,2.3
69100,17478,69100,2.3
69400,17525,69400,2.3
69700,17568,69700,2.3
70000,17619,70000,2.3
70300,17662,70300,2.3
70600,17708,70600,2.3
70900,17753,70900,2.3
71200,17792,71200,2.3
71500,18023,71500,2.3
71800,17885,71800,2.3
72100,17928,72100,2.3
72400,17966,72400,2.3
72700,18009,72700,2.3
73000,18049,73000,2.3
73300,18091,73300,2.3
73600,18131,73600,2.3
73900,18169,73900,2.3
74200,18211,74200,2.3
74500,18248,74500,2.3
74800,18288,74800,2.3
75100,18325,75100,2.3
75400,18364,75400,2.3
75700,18401,75700,2.3
76000,18438,76000,2.3
76300,18474,76300,2.3
76600,18508,76600,2.3
76900,18529,76900,2.3
