#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#small_nh4no3_ph_5,20.5,100,50,200,4,1,1,1.0126858710209283e-08
freq, real, imaginary, concentration
100,15731,100,0.625
150,2741,150,0.625
200,139,200,0.625
250,116,250,0.625
300,86,300,0.625
350,-32,350,0.625
400,-510,400,0.625
450,-1772,450,0.625
500,-4154,500,0.625
550,-7585,550,0.625
600,-11617,600,0.625
650,-15720,650,0.625
700,-19409,700,0.625
750,-22387,750,0.625
800,-24389,800,0.625
850,-25333,850,0.625
900,-25196,900,0.625
950,-24117,950,0.625
1000,-22330,1000,0.625
1050,-20156,1050,0.625
1100,-17833,1100,0.625
1150,-15510,1150,0.625
1200,-13307,1200,0.625
1250,-11268,1250,0.625
1300,-9422,1300,0.625
1350,-7785,1350,0.625
1400,-6347,1400,0.625
1450,-5092,1450,0.625
1500,-4053,1500,0.625
1550,-3269,1550,0.625
1600,-2756,1600,0.625
1650,-2504,1650,0.625
1700,-2470,1700,0.625
1750,-2600,1750,0.625
1800,-2838,1800,0.625
1850,-3120,1850,0.625
1900,-3384,1900,0.625
1950,-3589,1950,0.625
2000,-3729,2000,0.625
2050,-3792,2050,0.625
2100,-3788,2100,0.625
2150,-3735,2150,0.625
2200,-3636,2200,0.625
2250,-3501,2250,0.625
2300,-3337,2300,0.625
2350,-3152,2350,0.625
2400,-2954,2400,0.625
2450,-2738,2450,0.625
2500,-2534,2500,0.625
2550,-2359,2550,0.625
2600,-2221,2600,0.625
2650,-2135,2650,0.625
2700,-2085,2700,0.625
2750,-2080,2750,0.625
2800,-2098,2800,0.625
2850,-2126,2850,0.625
2900,-2151,2900,0.625
2950,-2165,2950,0.625
3000,-2161,3000,0.625
3050,-2145,3050,0.625
3100,-2117,3100,0.625
3150,-2074,3150,0.625
3200,-2021,3200,0.625
3250,-1967,3250,0.625
3300,-1894,3300,0.625
3350,-1822,3350,0.625
3400,-1745,3400,0.625
3450,-1656,3450,0.625
3500,-1580,3500,0.625
3550,-1514,3550,0.625
3600,-1445,3600,0.625
3650,-1400,3650,0.625
3700,-1373,3700,0.625
3750,-1355,3750,0.625
3800,-1345,3800,0.625
3850,-1346,3850,0.625
3900,-1334,3900,0.625
3950,-1318,3950,0.625
4000,-1302,4000,0.625
4050,-1270,4050,0.625
4100,-1238,4100,0.625
4150,-1209,4150,0.625
4200,-1163,4200,0.625
4250,-1127,4250,0.625
4300,-1081,4300,0.625
4350,-1032,4350,0.625
4400,-985,4400,0.625
4450,-933,4450,0.625
4500,-884,4500,0.625
4550,-847,4550,0.625
4600,-805,4600,0.625
4650,-776,4650,0.625
4700,-758,4700,0.625
4750,-743,4750,0.625
4800,-731,4800,0.625
4850,-721,4850,0.625
4900,-711,4900,0.625
4950,-694,4950,0.625
5000,-675,5000,0.625
5050,-642,5050,0.625
5100,-605,5100,0.625
5150,-582,5150,0.625
5200,-548,5200,0.625
5250,-516,5250,0.625
5300,-482,5300,0.625
5350,-447,5350,0.625
5400,-410,5400,0.625
5450,-374,5450,0.625
5500,-343,5500,0.625
5550,-311,5550,0.625
5600,-283,5600,0.625
5650,-259,5650,0.625
5700,-240,5700,0.625
5750,-216,5750,0.625
5800,-207,5800,0.625
5850,-182,5850,0.625
5900,-179,5900,0.625
5950,-153,5950,0.625
6000,-142,6000,0.625
6050,-123,6050,0.625
6100,-94,6100,0.625
6150,-71,6150,0.625
6200,-51,6200,0.625
6250,-26,6250,0.625
6300,6,6300,0.625
6350,29,6350,0.625
6400,70,6400,0.625
6450,102,6450,0.625
6500,136,6500,0.625
6550,156,6550,0.625
6600,179,6600,0.625
6650,198,6650,0.625
6700,216,6700,0.625
6750,229,6750,0.625
6800,247,6800,0.625
6850,266,6850,0.625
6900,283,6900,0.625
6950,315,6950,0.625
7000,312,7000,0.625
7050,340,7050,0.625
7100,351,7100,0.625
7150,381,7150,0.625
7200,387,7200,0.625
7250,400,7250,0.625
7300,428,7300,0.625
7350,468,7350,0.625
7400,477,7400,0.625
7450,500,7450,0.625
7500,524,7500,0.625
7550,547,7550,0.625
7600,565,7600,0.625
7650,582,7650,0.625
7700,592,7700,0.625
7750,619,7750,0.625
7800,629,7800,0.625
7850,644,7850,0.625
7900,661,7900,0.625
7950,677,7950,0.625
8000,702,8000,0.625
8050,719,8050,0.625
8100,739,8100,0.625
8150,756,8150,0.625
8200,754,8200,0.625
8250,797,8250,0.625
8300,814,8300,0.625
8350,839,8350,0.625
8400,860,8400,0.625
8450,879,8450,0.625
8500,901,8500,0.625
8550,915,8550,0.625
8600,933,8600,0.625
8650,949,8650,0.625
8700,961,8700,0.625
8750,978,8750,0.625
8800,992,8800,0.625
8850,1005,8850,0.625
8900,1026,8900,0.625
8950,1044,8950,0.625
9000,1062,9000,0.625
9050,1079,9050,0.625
9100,1115,9100,0.625
9150,1119,9150,0.625
9200,1135,9200,0.625
9250,1157,9250,0.625
9300,1170,9300,0.625
9350,1199,9350,0.625
9400,1208,9400,0.625
9450,1228,9450,0.625
9500,1241,9500,0.625
9550,1261,9550,0.625
9600,1278,9600,0.625
9650,1295,9650,0.625
9700,1305,9700,0.625
9750,1323,9750,0.625
9800,1358,9800,0.625
9850,1351,9850,0.625
9900,1366,9900,0.625
9950,1381,9950,0.625
10000,1430,10000,0.625
10050,1412,10050,0.625
100,13941,100,1.25
150,156,150,1.25
200,137,200,1.25
250,116,250,1.25
300,93,300,1.25
350,55,350,1.25
400,-230,400,1.25
450,-1385,450,1.25
500,-3818,500,1.25
550,-7335,550,1.25
600,-11466,600,1.25
650,-15635,650,1.25
700,-19395,700,1.25
750,-22377,750,1.25
800,-24406,800,1.25
850,-25352,850,1.25
900,-25231,900,1.25
950,-24125,950,1.25
1000,-22308,1000,1.25
1050,-20112,1050,1.25
1100,-17776,1100,1.25
1150,-15452,1150,1.25
1200,-13242,1200,1.25
1250,-11199,1250,1.25
1300,-9361,1300,1.25
1350,-7722,1350,1.25
1400,-6291,1400,1.25
1450,-5034,1450,1.25
1500,-3984,1500,1.25
1550,-3198,1550,1.25
1600,-2682,1600,1.25
1650,-2427,1650,1.25
1700,-2385,1700,1.25
1750,-2516,1750,1.25
1800,-2754,1800,1.25
1850,-3034,1850,1.25
1900,-3298,1900,1.25
1950,-3503,1950,1.25
2000,-3637,2000,1.25
2050,-3694,2050,1.25
2100,-3693,2100,1.25
2150,-3636,2150,1.25
2200,-3533,2200,1.25
2250,-3397,2250,1.25
2300,-3232,2300,1.25
2350,-3045,2350,1.25
2400,-2847,2400,1.25
2450,-2627,2450,1.25
2500,-2417,2500,1.25
2550,-2240,2550,1.25
2600,-2105,2600,1.25
2650,-2017,2650,1.25
2700,-1968,2700,1.25
2750,-1959,2750,1.25
2800,-1974,2800,1.25
2850,-2003,2850,1.25
2900,-2033,2900,1.25
2950,-2043,2950,1.25
3000,-2040,3000,1.25
3050,-2017,3050,1.25
3100,-1990,3100,1.25
3150,-1945,3150,1.25
3200,-1892,3200,1.25
3250,-1831,3250,1.25
3300,-1765,3300,1.25
3350,-1689,3350,1.25
3400,-1613,3400,1.25
3450,-1520,3450,1.25
3500,-1438,3500,1.25
3550,-1374,3550,1.25
3600,-1315,3600,1.25
3650,-1262,3650,1.25
3700,-1229,3700,1.25
3750,-1209,3750,1.25
3800,-1201,3800,1.25
3850,-1201,3850,1.25
3900,-1184,3900,1.25
3950,-1173,3950,1.25
4000,-1157,4000,1.25
4050,-1131,4050,1.25
4100,-1101,4100,1.25
4150,-1053,4150,1.25
4200,-1024,4200,1.25
4250,-974,4250,1.25
4300,-924,4300,1.25
4350,-886,4350,1.25
4400,-827,4400,1.25
4450,-771,4450,1.25
4500,-723,4500,1.25
4550,-685,4550,1.25
4600,-640,4600,1.25
4650,-615,4650,1.25
4700,-591,4700,1.25
4750,-578,4750,1.25
4800,-562,4800,1.25
4850,-554,4850,1.25
4900,-532,4900,1.25
4950,-510,4950,1.25
5000,-487,5000,1.25
5050,-469,5050,1.25
5100,-442,5100,1.25
5150,-399,5150,1.25
5200,-368,5200,1.25
5250,-333,5250,1.25
5300,-299,5300,1.25
5350,-264,5350,1.25
5400,-227,5400,1.25
5450,-189,5450,1.25
5500,-164,5500,1.25
5550,-122,5550,1.25
5600,-91,5600,1.25
5650,-74,5650,1.25
5700,-53,5700,1.25
5750,-21,5750,1.25
5800,-16,5800,1.25
5850,13,5850,1.25
5900,16,5900,1.25
5950,42,5950,1.25
6000,56,6000,1.25
6050,77,6050,1.25
6100,87,6100,1.25
6150,126,6150,1.25
6200,150,6200,1.25
6250,198,6250,1.25
6300,213,6300,1.25
6350,253,6350,1.25
6400,276,6400,1.25
6450,313,6450,1.25
6500,341,6500,1.25
6550,368,6550,1.25
6600,397,6600,1.25
6650,415,6650,1.25
6700,436,6700,1.25
6750,454,6750,1.25
6800,465,6800,1.25
6850,470,6850,1.25
6900,505,6900,1.25
6950,516,6950,1.25
7000,540,7000,1.25
7050,572,7050,1.25
7100,582,7100,1.25
7150,590,7150,1.25
7200,625,7200,1.25
7250,632,7250,1.25
7300,672,7300,1.25
7350,697,7350,1.25
7400,715,7400,1.25
7450,742,7450,1.25
7500,766,7500,1.25
7550,789,7550,1.25
7600,807,7600,1.25
7650,826,7650,1.25
7700,839,7700,1.25
7750,863,7750,1.25
7800,877,7800,1.25
7850,892,7850,1.25
7900,914,7900,1.25
7950,924,7950,1.25
8000,958,8000,1.25
8050,971,8050,1.25
8100,992,8100,1.25
8150,1016,8150,1.25
8200,1025,8200,1.25
8250,1058,8250,1.25
8300,1076,8300,1.25
8350,1099,8350,1.25
8400,1124,8400,1.25
8450,1153,8450,1.25
8500,1168,8500,1.25
8550,1191,8550,1.25
8600,1205,8600,1.25
8650,1220,8650,1.25
8700,1235,8700,1.25
8750,1255,8750,1.25
8800,1267,8800,1.25
8850,1289,8850,1.25
8900,1308,8900,1.25
8950,1324,8950,1.25
9000,1341,9000,1.25
9050,1364,9050,1.25
9100,1360,9100,1.25
9150,1400,9150,1.25
9200,1421,9200,1.25
9250,1439,9250,1.25
9300,1463,9300,1.25
9350,1482,9350,1.25
9400,1500,9400,1.25
9450,1521,9450,1.25
9500,1538,9500,1.25
9550,1560,9550,1.25
9600,1577,9600,1.25
9650,1594,9650,1.25
9700,1614,9700,1.25
9750,1627,9750,1.25
9800,1623,9800,1.25
9850,1656,9850,1.25
9900,1673,9900,1.25
9950,1690,9950,1.25
10000,1689,10000,1.25
10050,1728,10050,1.25
100,12680,100,2.5
150,153,150,2.5
200,137,200,2.5
250,116,250,2.5
300,94,300,2.5
350,69,350,2.5
400,-108,400,2.5
450,-1170,450,2.5
500,-3547,500,2.5
550,-7047,550,2.5
600,-11151,600,2.5
650,-15322,650,2.5
700,-19080,700,2.5
750,-22092,750,2.5
800,-24127,800,2.5
850,-25091,850,2.5
900,-24982,900,2.5
950,-23887,950,2.5
1000,-22071,1000,2.5
