#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#nh4no3_3,20.0,1000,200,300,4,1,1,1.0152170736012073e-08
freq, real, imaginary, concentration
,freq,10.0,5.0,2.5,1.25,0.625
0,1000,5078.551533756908,5218.44461025615,5633.044494768983,5709.93141148047,5895.217146855475
1,1200,5626.233551434543,5869.059506095415,6713.215558449515,6907.5811949792305,7419.184657454611
2,1400,6852.871531477821,7244.742706884792,8745.859578718166,9128.737672058704,10202.76020243472
3,1600,9139.313092279179,9839.638228523794,12783.15637832925,13596.491583809679,16071.060455529503
4,1800,12048.683552331946,13296.714238592502,19407.552554505102,21347.806434697268,28232.361057114264
5,2000,12537.707484897834,13915.956054873976,21103.24047704097,23497.31926769971,32659.033505963635
6,2200,11647.260147328032,12814.524088332526,18685.518401035115,20522.0773598249,27136.529454455984
7,2400,11363.065880238877,12473.816203691787,18019.889671499408,19714.0210002214,25879.615684154465
8,2600,11846.399416285147,13051.096612995807,19275.85573466946,21196.67646334856,28559.13111003702
9,2800,12470.732337901567,13812.559018147693,21011.67416228337,23321.2339263553,32551.522755463782
10,3000,12527.198724127313,13884.585528143663,21241.033059510035,23625.222713817293,33172.00346933861
11,3200,12265.842206515572,13561.586163728954,20498.929864497135,22712.626252384125,31375.849891490925
12,3400,12154.00452828048,13419.537322926886,20202.348541946365,22341.30051017786,30708.3533675584
13,3600,12305.527145767901,13606.144541687938,20651.692309471196,22887.82856248913,31797.437363189438
14,3800,12498.365423666835,13840.016169788763,21220.800888893245,23576.83556971446,33152.52156445842
15,4000,12480.064529512798,13818.677760143526,21195.316138721577,23547.922050773162,33052.63727706634
16,4200,12362.467586400166,13670.496400933382,20854.948145213595,23133.202168329924,32256.851598028825
17,4400,12321.31330856863,13620.57600907281,20755.42599806709,23012.672488823147,32081.092595181803
18,4600,12404.817500718213,13724.835297290274,21010.335761023704,23321.93597353258,32730.057579691616
19,4800,12486.346331484352,13824.4736361333,21247.55369460836,23591.113103878895,33314.698303048965
20,5000,12450.936373303677,13782.43968975982,21159.635114365698,23486.712337054298,33097.47754660949
21,5200,12375.303230855063,13689.97115394904,20950.45076376885,23251.285590242802,32588.61426700108
