#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#nh4no3_4,20.0,1000,200,450,4,1,1,1.0152170736012073e-08
freq, real, imaginary, concentration
,freq,30.0,15.0,7.5
0,1000,3529.3545633410886,4378.394944830521,5204.667853878249
1,1200,3588.15130583908,4579.187981004412,5829.964561614173
2,1400,4003.840137467829,5290.42623419584,7174.839953377774
3,1600,4707.00514319574,6559.744305529751,9714.919083821089
4,1800,5359.0303917809015,7916.022549842724,13096.680865122726
5,2000,5406.578685704305,8070.494986832885,13723.96857059432
6,2200,5237.536834844251,7689.6241873990775,12663.256719405596
7,2400,5179.767572505761,7557.420343067957,12339.715085901025
8,2600,5278.973132524491,7759.9801628148625,12911.495114816933
9,2800,5400.548205173582,8023.188046480063,13670.03760284068
10,3000,5402.184277908399,8035.546137014633,13751.005084683038
11,3200,5355.11926125353,7926.124215972584,13434.212835305005
12,3400,5333.674419307872,7876.250459418919,13300.08734844711
13,3600,5361.677270468431,7935.670192531485,13489.244905476864
14,3800,5398.178944396416,8014.135506064122,13724.77787456512
15,4000,5391.717490296658,8001.436624708653,13704.550187272564
16,4200,5371.676747168915,7951.782605352759,13569.746716153877
17,4400,5362.093497471867,7931.503858185474,13521.556105442245
18,4600,5378.263805691066,7964.695144091691,13629.244228918595
19,4800,5392.967596884386,7997.192811345074,13725.612506824813
20,5000,5385.724535361486,7980.379225429715,13686.30551959567
21,5200,5372.454558888666,7950.776419724852,13593.01311140285
22,5400,5369.472498906057,7941.933210362291,13576.149268128673
23,5600,5378.516937595336,7961.5335003889095,13640.752998056343
24,5800,5386.9552995799195,7981.578379988042,13701.439987551013
25,6000,5382.37829035381,7970.616886802263,13676.539071222653
26,6200,5373.12568056066,7949.401122984716,13612.51220406445
27,6400,5369.952060342242,7942.1516889013255,13593.825745971852
28,6600,5377.472305616434,7957.837516435972,13642.430275325378
29,6800,5383.8179132978,7972.451581713149,13682.14941177438
30,7000,5382.489552716471,7969.057832214116,13678.452071889666
31,7200,5379.592729873662,7960.345150087895,13649.76832209913
32,7400,5376.275207722081,7955.248863453308,13637.903006714329
33,7600,5378.772767656003,7961.705537418715,13661.920900002304
34,7800,5380.4601200795,7963.843836115563,13671.215826151974
35,8000,5378.262330556035,7960.193943673278,13657.754532182842
36,8200,5375.99182963865,7951.740733782174,13630.625700934514
37,8400,5374.602565148325,7953.3289223147385,13633.325396241036
38,8600,5378.072914062072,7958.965480303545,13653.405325257598
39,8800,5378.414532407477,7959.669271995578,13653.257769465421
40,9000,5375.646670024959,7954.456526036936,13633.806757975071
41,9200,5373.946829438218,7949.537113810418,13625.22759869988
42,9400,5373.316205756497,7949.642561338944,13627.676277252986
43,9600,5375.630643398733,7954.421018552259,13645.636497270913
44,9800,5374.478886906798,7956.2523619178755,13650.900542311354
45,10000,5372.203048967224,7952.179848142239,13631.537386727812
46,10200,5373.110212070637,7944.4388054833125,13615.026214932805
47,10400,5371.19772174344,7945.473812272696,13613.15373932914
48,10600,5373.879489633271,7951.112143788045,13634.32317502476
49,10800,5375.262014528096,7954.765946296802,13643.146848777822
50,11000,5374.58477972517,7953.740165685119,13638.840733332314
51,11200,5373.762114887416,7951.910504295421,13634.070444629939
52,11400,5373.09791731443,7951.093285541853,13628.986431971389
53,11600,5373.677453419997,7952.382923615523,13633.568421389506
54,11800,5373.024766059361,7951.074012967347,13628.699819644487
55,12000,5372.358212894801,7949.67743528486,13621.818337766397
56,12200,5375.263455181221,7950.21124257278,13614.799916421824
57,12400,5372.550574422368,7950.492896695394,13618.903784638305
58,12600,5372.838364172959,7950.4702099478,13619.883687603144
59,12800,5370.620807580565,7947.861286764991,13611.106213634888
60,13000,5370.87269413261,7944.823138411558,13598.204674974502
61,13200,5370.14768304381,7943.592658248031,13596.136687107743
62,13400,5369.566216479703,7945.16446702464,13594.378156619274
63,13600,5370.631193378218,7947.33635954867,13604.45881147029
64,13800,5370.497595585729,7946.596319294273,13597.790690951033
65,14000,5369.198179625454,7942.894826429448,13590.441419640389
66,14200,5368.597485260649,7942.209235167658,13580.774835969272
67,14400,5368.569664566951,7944.729537236151,13582.396767930275
68,14600,5370.422323496233,7947.41362656981,13586.413107188073
69,14800,5370.82432750489,7946.449023891885,13585.681012783361
70,15000,5369.197900445556,7945.951419440887,13585.615369146431
71,15200,5368.260221403607,7946.549357651571,13585.659432978831
72,15400,5368.717257129779,7945.347257576676,13585.82251165421
