#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor, unit
#nh4cl_11,20.0,10,10,100,4,1,1,2.1262532186430624e-09,mgL
freq, real, imaginary, concentration
10,32350,10,0.625
20,31962,20,0.625
30,31514,30,0.625
40,31056,40,0.625
50,30581,50,0.625
60,30101,60,0.625
70,29620,70,0.625
80,29130,80,0.625
90,28645,90,0.625
100,28150,100,0.625
110,27649,110,0.625
120,27130,120,0.625
130,26608,130,0.625
140,26074,140,0.625
150,25521,150,0.625
160,24950,160,0.625
170,24364,170,0.625
180,23765,180,0.625
190,23144,190,0.625
200,22499,200,0.625
210,21853,210,0.625
220,21178,220,0.625
230,20491,230,0.625
240,19788,240,0.625
250,19066,250,0.625
260,18339,260,0.625
270,17591,270,0.625
280,16836,280,0.625
290,16064,290,0.625
300,15282,300,0.625
310,14488,310,0.625
320,13686,320,0.625
330,12881,330,0.625
340,12065,340,0.625
350,11238,350,0.625
360,10409,360,0.625
370,9567,370,0.625
380,8728,380,0.625
390,7883,390,0.625
400,7036,400,0.625
410,6184,410,0.625
420,5337,420,0.625
430,4488,430,0.625
440,3639,440,0.625
450,2791,450,0.625
460,1946,460,0.625
470,1102,470,0.625
480,273,480,0.625
490,-557,490,0.625
500,-1382,500,0.625
510,-2191,510,0.625
520,-2990,520,0.625
530,-3788,530,0.625
540,-4567,540,0.625
550,-5335,550,0.625
560,-6098,560,0.625
570,-6836,570,0.625
580,-7555,580,0.625
590,-8270,590,0.625
600,-8964,600,0.625
610,-9631,610,0.625
620,-10282,620,0.625
630,-10916,630,0.625
640,-11527,640,0.625
650,-12116,650,0.625
660,-12689,660,0.625
670,-13223,670,0.625
680,-13737,680,0.625
690,-14232,690,0.625
700,-14698,700,0.625
710,-15134,710,0.625
720,-15544,720,0.625
730,-15933,730,0.625
740,-16287,740,0.625
750,-16625,750,0.625
760,-16922,760,0.625
770,-17188,770,0.625
780,-17430,780,0.625
790,-17652,790,0.625
800,-17835,800,0.625
810,-17991,810,0.625
820,-18117,820,0.625
830,-18221,830,0.625
840,-18295,840,0.625
850,-18341,850,0.625
860,-18361,860,0.625
870,-18347,870,0.625
880,-18305,880,0.625
890,-18254,890,0.625
900,-18169,900,0.625
910,-18060,910,0.625
920,-17929,920,0.625
930,-17775,930,0.625
940,-17599,940,0.625
950,-17405,950,0.625
960,-17185,960,0.625
970,-16951,970,0.625
980,-16696,980,0.625
990,-16427,990,0.625
1000,-16137,1000,0.625
10,32329,10,1.25
20,31841,20,1.25
30,31243,30,1.25
40,30609,40,1.25
50,29970,50,1.25
60,29340,60,1.25
70,28725,70,1.25
80,28117,80,1.25
90,27530,90,1.25
100,26946,100,1.25
110,26364,110,1.25
120,25791,120,1.25
130,25224,130,1.25
140,24659,140,1.25
150,24080,150,1.25
160,23494,160,1.25
170,22901,170,1.25
180,22302,180,1.25
190,21689,190,1.25
200,21064,200,1.25
210,20428,210,1.25
220,19780,220,1.25
230,19118,230,1.25
240,18453,240,1.25
250,17762,250,1.25
260,17074,260,1.25
270,16368,270,1.25
280,15654,280,1.25
290,14925,290,1.25
300,14198,300,1.25
310,13449,310,1.25
320,12698,320,1.25
330,11940,330,1.25
340,11171,340,1.25
350,10403,350,1.25
360,9622,360,1.25
370,8838,370,1.25
380,8048,380,1.25
390,7255,390,1.25
400,6457,400,1.25
410,5661,410,1.25
420,4856,420,1.25
430,4052,430,1.25
440,3246,440,1.25
450,2439,450,1.25
460,1640,460,1.25
470,838,470,1.25
480,37,480,1.25
490,-764,490,1.25
500,-1542,500,1.25
510,-2329,510,1.25
520,-3111,520,1.25
530,-3887,530,1.25
540,-4646,540,1.25
550,-5401,550,1.25
560,-6138,560,1.25
570,-6870,570,1.25
580,-7590,580,1.25
590,-8289,590,1.25
600,-8980,600,1.25
610,-9647,610,1.25
620,-10299,620,1.25
630,-10932,630,1.25
640,-11548,640,1.25
650,-12137,650,1.25
