#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor, unit
#nh4no3_t_10ppm,20.0,1000,200,450,4,1,1,1.0152170736012073e-08,mgL
freq, real, imaginary, concentration
1000,-17647,1000,1.0
1200,-9698,1200,1.0
1400,-2826,1400,1.0
1600,228,1600,1.0
1800,-141,1800,1.0
2000,-1280,2000,1.0
2200,-1441,2200,1.0
2400,-907,2400,1.0
2600,-389,2600,1.0
2800,-413,2800,1.0
3000,-620,3000,1.0
3200,-623,3200,1.0
3400,-437,3400,1.0
3600,-261,3600,1.0
3800,-254,3800,1.0
4000,-306,4000,1.0
4200,-269,4200,1.0
4400,-158,4400,1.0
4600,-65,4600,1.0
4800,-54,4800,1.0
5000,-61,5000,1.0
5200,-25,5200,1.0
5400,58,5400,1.0
5600,125,5600,1.0
5800,133,5800,1.0
6000,142,6000,1.0
6200,177,6200,1.0
6400,251,6400,1.0
6600,296,6600,1.0
6800,321,6800,1.0
7000,333,7000,1.0
7200,351,7200,1.0
7400,400,7400,1.0
7600,428,7600,1.0
7800,458,7800,1.0
8000,469,8000,1.0
8200,514,8200,1.0
8400,546,8400,1.0
8600,585,8600,1.0
8800,609,8800,1.0
9000,629,9000,1.0
9200,664,9200,1.0
9400,696,9400,1.0
9600,725,9600,1.0
9800,748,9800,1.0
10000,769,10000,1.0
10200,799,10200,1.0
10400,837,10400,1.0
10600,865,10600,1.0
10800,889,10800,1.0
11000,909,11000,1.0
11200,930,11200,1.0
11400,960,11400,1.0
11600,984,11600,1.0
11800,1012,11800,1.0
12000,1034,12000,1.0
12200,1062,12200,1.0
12400,1091,12400,1.0
12600,1112,12600,1.0
12800,1132,12800,1.0
13000,1160,13000,1.0
13200,1185,13200,1.0
13400,1215,13400,1.0
13600,1237,13600,1.0
13800,1259,13800,1.0
14000,1286,14000,1.0
14200,1308,14200,1.0
14400,1340,14400,1.0
14600,1361,14600,1.0
14800,1385,14800,1.0
15000,1404,15000,1.0
15200,1427,15200,1.0
