#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#large_nano2_11,19.7,10000,450,200,4,1,1,1.0092016396570935e-08
freq, real, imaginary, concentration
10000,2896,10000,0.625
10450,3064,10450,0.625
10900,3214,10900,0.625
11350,3376,11350,0.625
11800,3518,11800,0.625
12250,3673,12250,0.625
12700,3823,12700,0.625
13150,3964,13150,0.625
13600,4127,13600,0.625
14050,4281,14050,0.625
14500,4430,14500,0.625
14950,4579,14950,0.625
15400,4732,15400,0.625
15850,4869,15850,0.625
16300,5025,16300,0.625
16750,5164,16750,0.625
17200,5309,17200,0.625
17650,5444,17650,0.625
18100,5606,18100,0.625
18550,5752,18550,0.625
19000,5886,19000,0.625
19450,6025,19450,0.625
19900,6185,19900,0.625
20350,6310,20350,0.625
20800,6445,20800,0.625
21250,6588,21250,0.625
21700,6727,21700,0.625
22150,6870,22150,0.625
22600,7013,22600,0.625
23050,7145,23050,0.625
23500,7280,23500,0.625
23950,7423,23950,0.625
24400,7540,24400,0.625
24850,7694,24850,0.625
25300,7831,25300,0.625
25750,7961,25750,0.625
26200,8082,26200,0.625
26650,8232,26650,0.625
27100,8359,27100,0.625
27550,8492,27550,0.625
28000,8622,28000,0.625
28450,8757,28450,0.625
28900,8892,28900,0.625
29350,9015,29350,0.625
29800,9145,29800,0.625
30250,9278,30250,0.625
30700,9404,30700,0.625
31150,9531,31150,0.625
31600,9660,31600,0.625
32050,9785,32050,0.625
32500,9911,32500,0.625
32950,10036,32950,0.625
33400,10160,33400,0.625
33850,10288,33850,0.625
34300,10413,34300,0.625
34750,10540,34750,0.625
35200,10655,35200,0.625
35650,10774,35650,0.625
36100,10904,36100,0.625
36550,11020,36550,0.625
37000,11134,37000,0.625
37450,11260,37450,0.625
37900,11381,37900,0.625
38350,11497,38350,0.625
38800,11613,38800,0.625
39250,11730,39250,0.625
39700,11847,39700,0.625
40150,11964,40150,0.625
40600,12083,40600,0.625
41050,12193,41050,0.625
41500,12309,41500,0.625
41950,12421,41950,0.625
42400,12531,42400,0.625
